,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
177,Faya,20,SA,1562872771,46,18.39,42.45,75.2,5.82
178,Poya,0,NC,1562872772,71,-21.35,165.16,68.43,5.97
179,Sayat,0,TM,1562872773,31,38.78,63.88,87.8,4.7
180,Jian,94,IN,1562872775,84,25.65,87.89,81.57,5.48
181,Jumla,100,NP,1562872776,98,29.28,82.18,56.55,1.63
182,Mahebourg,20,MU,1562872777,88,-20.41,57.7,66.2,8.05
183,Blythe,1,US,1562872778,15,33.61,-114.59,105.01,8.05
184,Bandarbeyla,58,SO,1562872779,65,9.49,50.81,80.13,26.71
185,Huarmey,84,PE,1562872781,88,-10.07,-78.15,63.03,12.5
186,Tessalit,22,ML,1562872782,12,20.2,1.01,105.51,11.07
187,Flin Flon,90,CA,1562872783,87,54.77,-101.88,57.2,6.93
188,Voh,28,NC,1562872784,75,-20.95,164.69,68.07,7.58
189,Uyar,100,RU,1562872785,75,55.81,94.33,55.29,4.07
190,Longyearbyen,75,NO,1562872786,75,78.22,15.63,46.4,6.93
191,Bianzhuang,4,CN,1562872716,77,39.44,112.12,55.65,2.19
192,Pitimbu,40,BR,1562872789,65,-7.47,-34.81,82.4,13.87
193,Bonavista,100,CA,1562872790,83,48.65,-53.11,48.99,10.0
194,Dong Xoai,40,VN,1562872791,88,11.53,106.92,77.25,5.12
195,Port Elizabeth,40,US,1562872780,78,39.31,-74.98,91.4,14.99
196,Rapid Valley,1,US,1562872794,58,44.06,-103.15,90.0,9.17
197,Botshabelo,0,ZA,1562872795,52,-29.23,26.73,42.8,2.24
198,Medea,0,DZ,1562872796,65,36.27,2.77,78.8,9.17
199,Valleyview,63,CA,1562872571,52,55.07,-117.28,67.35,6.49
200,Hofn,40,IS,1562872515,67,64.25,-15.21,59.0,6.93
201,Poronaysk,100,RU,1562872800,98,49.22,143.1,49.35,2.91
202,George,14,MW,1562872801,61,-15.35,34.83,58.71,2.48
203,Tual,59,ID,1562872802,79,-5.67,132.75,77.25,18.14
204,Basco,90,US,1562872803,57,40.33,-91.2,84.2,8.05
205,Esperance,90,AU,1562872536,100,-33.86,121.89,50.0,8.05
206,Ribeira Grande,20,PT,1562872806,78,38.52,-28.7,73.4,4.7
207,Tuy Hoa,3,VN,1562872807,83,13.08,109.3,75.99,3.65
208,Leshukonskoye,99,RU,1562872808,79,64.9,45.76,42.15,9.51
209,Osakarovka,60,KZ,1562872809,44,50.56,72.58,66.99,13.69
210,Arraial do Cabo,0,BR,1562872810,50,-22.97,-42.02,75.2,9.17
211,Mustvee,50,EE,1562872812,62,58.85,26.93,55.4,5.82
212,Khani,75,GE,1562872813,83,41.96,42.96,75.2,3.36
213,Sretensk,6,RU,1562872814,60,52.24,117.7,62.49,4.45
214,Skibbereen,20,IE,1562872815,68,51.55,-9.27,64.4,14.99
215,Pathanamthitta,100,IN,1562872816,90,9.27,76.79,77.43,2.3
216,Kodiak,20,US,1562872818,48,39.95,-94.76,84.99,9.17
217,Ilulissat,40,GL,1562872539,81,69.22,-51.1,44.6,8.05
218,Ippy,93,CF,1562872820,97,6.26,21.2,68.79,5.48
219,Seydi,0,NE,1562872821,58,13.34,7.75,87.8,9.17
220,Walvis Bay,0,NA,1562872822,93,-22.95,14.51,60.8,3.36
221,Touros,40,BR,1562872823,65,-5.2,-35.46,82.4,13.87
222,Karatsu,90,JP,1562872825,73,33.45,129.97,75.2,4.7
223,Santa Rosalia,20,IT,1562872826,74,38.07,13.27,81.0,1.12
224,Pinerolo,0,IT,1562872827,64,44.89,7.33,75.99,4.7
225,Gejiu,100,CN,1562872828,96,23.36,103.16,63.93,6.44
226,Mount Gambier,75,AU,1562872794,93,-37.83,140.78,53.6,16.11
227,Jieshi,100,CN,1562872831,94,22.82,115.83,82.0,3.0
228,Dezhou,3,CN,1562872832,62,37.45,116.31,75.45,4.9
229,Pingliang,100,CN,1562872833,86,35.54,106.68,55.83,5.66
230,Alice Springs,99,AU,1562872731,48,-23.7,133.88,42.8,5.82
231,Sao Joao da Barra,0,BR,1562872835,34,-21.64,-41.05,82.4,4.7
232,Kuusamo,0,FI,1562872837,57,65.96,29.19,51.8,5.82
233,Shelbyville,90,US,1562872838,45,39.41,-88.79,84.2,8.05
234,Sinaloa,1,MX,1562872839,13,32.55,-115.28,105.8,4.7
235,Bilibino,92,RU,1562872840,42,68.06,166.44,70.23,5.17
236,Arteaga,29,MX,1562872841,53,25.45,-100.85,93.99,4.0
237,Port Shepstone,0,ZA,1562872843,25,-30.74,30.45,64.29,4.97
238,Tambacounda,75,SN,1562872844,70,13.77,-13.67,91.4,6.93
239,Rabo de Peixe,20,PT,1562872845,69,37.8,-25.58,75.2,10.29
240,Tuatapere,97,NZ,1562872846,89,-46.13,167.69,44.01,5.99
241,Coos Bay,90,US,1562872848,88,43.37,-124.22,78.01,4.7
242,Sangin,0,AF,1562872849,8,32.07,64.85,83.55,2.51
243,Ilo,0,PE,1562872850,68,-17.65,-71.34,66.2,6.93
244,Pangnirtung,75,CA,1562872851,35,66.15,-65.72,73.4,8.05
245,Dakar,20,SN,1562872852,78,14.69,-17.45,78.8,9.17
246,Coquimbo,0,CL,1562872854,67,-29.95,-71.34,61.0,4.7
247,Andilamena,59,MG,1562872855,96,-17.01,48.57,58.35,6.53
248,Shannon,75,IE,1562872856,77,52.71,-8.88,64.4,12.75
249,Wanning,100,AT,1562872857,76,48.64,13.53,68.0,4.0
250,Itarema,51,BR,1562872669,63,-2.92,-39.92,84.09,12.08
251,Kamina,0,CD,1562872859,31,-8.74,25.0,70.23,4.72
252,Hilo,1,US,1562872834,69,19.71,-155.08,80.01,7.58
253,Sitka,14,US,1562872862,54,37.17,-99.65,84.0,3.0
254,Lagoa,0,PT,1562872835,54,37.14,-8.45,81.0,5.82
255,Miaga,35,PH,1562872864,82,12.24,123.82,80.13,2.3
256,Gigmoto,17,PH,1562872866,75,13.78,124.39,83.19,4.72
257,Lavrentiya,17,RU,1562872867,47,65.58,-170.99,65.01,5.68
258,Tiksi,90,RU,1562872868,58,71.64,128.87,54.03,10.98
259,George Town,75,MY,1562872707,83,5.42,100.33,78.8,5.82
260,Tagusao,94,PH,1562872870,80,9.19,117.81,80.13,6.08
261,Tasiilaq,40,GL,1562872871,81,65.61,-37.64,42.8,9.17
262,Soller,72,DE,1562872873,59,50.73,6.56,75.2,2.24
263,Airai,0,TL,1562872874,78,-8.93,125.41,66.99,5.46
264,Doha,0,QA,1562872818,63,25.29,51.53,95.0,2.24
265,Grand-Santi,14,GF,1562872726,57,4.27,-54.38,87.51,4.72
266,Nizwa,94,OM,1562872877,22,22.93,57.53,82.47,2.89
267,Surt,0,LY,1562872878,85,31.21,16.59,80.67,13.58
268,Bati,18,ET,1562872880,47,11.19,40.02,78.33,1.7
269,Vila Velha,20,BR,1562872598,62,-3.71,-38.6,86.0,14.99
270,Husavik,72,CA,1562872882,40,50.56,-96.99,82.0,8.99
271,Seoul,90,KR,1562872863,94,37.57,126.98,69.8,2.24
272,Pisco,7,PE,1562872884,30,-13.71,-76.2,71.6,10.29
273,Honiara,20,SB,1562872885,100,-9.43,159.96,73.4,2.24
274,Lincoln,75,GB,1562872654,72,53.23,-0.54,73.4,9.17
275,Viedma,100,AR,1562872888,42,-40.81,-62.99,58.89,6.31
276,Urengoy,100,RU,1562872889,87,65.96,78.37,62.85,11.36
277,Naryan-Mar,71,RU,1562872890,97,67.67,53.09,47.37,8.61
278,Marsabit,49,KE,1562872891,40,2.34,37.99,85.53,16.58
279,Alofi,35,NU,1562872775,100,-19.06,-169.92,73.4,8.05
280,Iisalmi,0,FI,1562872738,93,63.56,27.19,50.0,4.34
281,Mogadishu,99,SO,1562872725,84,2.04,45.34,77.07,11.27
282,Priargunsk,40,RU,1562872896,45,50.37,119.09,68.25,1.57
283,Ilhabela,56,BR,1562872840,63,-23.78,-45.36,70.23,6.06
284,Sinnamary,10,GF,1562872898,80,5.38,-52.96,81.39,15.1
285,Inhambane,0,MZ,1562872899,93,-23.87,35.38,62.6,4.81
286,Batamshinskiy,0,KZ,1562872900,53,50.56,58.27,71.6,6.71
287,Rawson,0,AR,1562872902,39,-43.3,-65.11,53.85,10.31
288,Frontera,80,MX,1562872903,73,18.53,-92.64,83.01,10.51
289,Dallas,1,US,1562872767,41,32.78,-96.8,96.01,8.05
290,Yankton,1,US,1562872905,54,42.87,-97.4,86.0,2.75
291,Northam,40,AU,1562872906,93,-31.65,116.67,46.4,3.13
292,Pontianak,19,ID,1562872908,75,-0.02,109.34,83.01,9.22
293,Gogosari,1,RO,1562872909,60,43.87,25.7,69.01,6.22
294,Yellowknife,40,CA,1562872910,63,62.45,-114.38,62.6,10.29
295,Matay,0,EG,1562872911,22,28.42,30.79,95.07,19.66
296,Belaya Gora,96,RU,1562872912,86,68.54,146.19,64.29,9.31
297,Krasnoye-na-Volge,40,RU,1562872914,76,57.51,41.24,53.6,4.47
298,Bjornevatn,20,NO,1562872915,75,69.67,29.98,48.2,9.17
299,Portland,90,US,1562872649,88,43.66,-70.25,80.6,6.93
300,Nyurba,31,RU,1562872917,74,63.29,118.35,62.49,1.79
301,Port Macquarie,0,AU,1562872918,57,-31.43,152.91,50.0,3.33
302,Lasa,0,CY,1562872825,83,34.92,32.53,82.99,8.05
303,Gorontalo,100,ID,1562872920,95,0.54,123.06,72.57,5.73
304,Camacha,40,PT,1562872922,68,33.08,-16.33,71.6,14.99
305,Yar-Sale,100,RU,1562872923,90,66.83,70.83,59.97,11.72
306,Arlit,26,NE,1562872778,6,18.74,7.39,107.13,7.07
307,Acari,90,BR,1562872926,43,-6.44,-36.64,86.61,16.78
308,Matamoros,1,US,1562872927,44,25.87,-97.51,99.0,5.53
309,Areka,71,ET,1562872928,87,7.07,37.71,66.45,2.1
310,Ulladulla,1,AU,1562872878,54,-35.36,150.48,57.2,16.11
311,Kita,75,JP,1562872930,100,35.76,139.74,68.0,8.05
312,Ternate,75,PH,1562872932,83,14.29,120.72,82.99,4.7
313,Bara,46,NG,1562872933,81,10.41,10.6,76.17,11.27
314,Xiongyue,7,CN,1562872934,86,40.18,122.12,71.13,15.88
315,Kadhan,63,PK,1562872935,71,24.48,68.99,84.27,22.26
316,Nalut,0,LY,1562872937,29,31.86,10.98,93.81,19.08
317,Valparaiso,20,US,1562872895,54,41.47,-87.06,82.99,9.17
318,Goulburn,96,AU,1562872939,86,-34.75,149.72,48.0,3.0
319,Allahabad,100,IN,1562872940,79,25.44,81.83,83.73,1.63
320,Thinadhoo,66,MV,1562872941,76,0.53,72.93,84.09,11.05
321,Kaitong,91,CN,1562872943,82,44.81,123.15,69.87,3.53
322,Talcahuano,75,CL,1562872944,76,-36.72,-73.12,57.2,9.17
323,Adrar,32,DZ,1562872945,8,27.87,-0.29,111.2,9.17
324,Sorong,99,ID,1562872946,93,-0.86,131.25,73.65,7.14
325,Kamaishi,100,JP,1562872865,96,39.28,141.86,54.21,3.31
326,Pueblo,1,US,1562872770,29,38.25,-104.61,96.8,4.7
327,Battle Creek,75,US,1562872758,51,42.32,-85.18,84.2,9.17
328,Kavaratti,100,IN,1562872951,81,10.57,72.64,83.73,10.47
329,Guadalupe,40,MX,1562872952,23,25.68,-100.26,98.6,3.36
330,Hokitika,93,NZ,1562872953,75,-42.72,170.96,49.89,10.13
331,Uyemskiy,90,RU,1562872954,100,64.47,40.85,39.2,6.71
332,Zhigansk,71,RU,1562872955,58,66.77,123.37,66.09,6.96
333,Tabuk,3,PH,1562872956,95,17.41,121.44,63.39,2.46
334,Barguzin,0,RU,1562872958,66,53.62,109.63,54.03,1.1
335,Dawei,99,MM,1562872959,78,14.07,98.19,82.65,10.83
336,Opuwo,0,NA,1562872960,14,-18.06,13.84,65.19,9.26
337,Tateyama,97,JP,1562872961,71,36.66,137.31,75.99,11.01
338,Zyryanovsk,4,KZ,1562872962,75,49.74,84.27,52.23,8.52
339,Constanta,0,RO,1562872964,55,44.18,28.65,64.4,4.7
340,Narsaq,20,GL,1562872965,62,60.91,-46.05,53.6,6.93
341,Sao Filipe,50,CV,1562872966,82,14.9,-24.5,72.21,11.99
342,Chifeng,44,CN,1562872967,73,42.27,118.96,61.41,3.22
343,Nanga Eboko,76,CM,1562872968,96,4.68,12.37,69.69,5.97
344,Fortuna,90,US,1562872970,82,40.6,-124.16,82.0,11.41
345,Nelson Bay,0,AU,1562872971,62,-32.72,152.14,57.0,13.87
346,Chateaubelair,40,VC,1562872972,70,13.28,-61.25,87.8,8.05
347,Soddy-Daisy,75,US,1562872973,66,35.24,-85.19,88.0,4.45
348,Turayf,0,SA,1562872974,25,31.68,38.65,89.6,16.11
349,Craig,1,US,1562872976,15,40.52,-107.55,89.6,3.36
350,Saint-Augustin,75,CA,1562872977,88,45.63,-73.98,81.0,5.82
351,Broome,20,GB,1562872978,73,52.47,1.45,73.0,3.36
352,Sinnar,100,IN,1562872979,86,19.85,74.0,74.73,21.79
353,Coihaique,75,CL,1562872980,93,-45.58,-72.07,46.4,4.7
354,Mandla,100,IN,1562872982,83,22.6,80.37,78.33,7.36
355,Talaya,0,RU,1562872983,93,55.79,84.89,51.8,2.24
356,Ornskoldsvik,83,SE,1562872984,51,63.29,18.72,59.0,5.82
357,Port Hedland,100,AU,1562872985,30,-20.31,118.58,68.0,9.17
358,Kahului,20,US,1562872987,58,20.89,-156.47,82.4,23.04
359,Catia La Mar,20,VE,1562872988,70,10.6,-67.03,84.2,4.7
360,Haines Junction,100,CA,1562872989,46,60.75,-137.51,62.31,6.02
361,Kavieng,100,PG,1562872990,78,-2.57,150.8,81.75,13.22
362,Bartica,75,GY,1562872992,70,6.41,-58.62,86.0,6.93
363,Saint-Pierre,0,FR,1562872704,50,48.95,4.24,78.8,2.24
364,Khuzdar,11,PK,1562872994,61,27.8,66.62,76.53,8.88
365,Necochea,100,AR,1562872995,83,-38.55,-58.74,60.01,1.99
366,Broken Hill,40,AU,1562872996,71,-31.97,141.45,51.8,12.75
367,Half Moon Bay,75,US,1562872997,93,37.46,-122.43,82.0,8.05
368,Prince Rupert,90,CA,1562872999,88,54.32,-130.32,62.6,5.82
369,Jinan,5,CN,1562873000,63,36.65,117.11,74.91,4.54
370,Normandin,90,CA,1562873001,61,48.84,-72.53,77.0,12.75
371,Sistranda,20,NO,1562873002,81,63.73,8.83,55.0,11.41
372,Lima,90,PE,1562872771,82,-12.06,-77.04,64.4,10.29
373,Champerico,20,MX,1562873005,58,16.38,-93.6,86.0,8.05
374,Margate,20,AU,1562873006,70,-43.03,147.26,46.99,21.92
